name,ra,dec,gal_l,gal_b,W1mag,W2mag,Gmag,BPmag,RPmag,log(fx),P_QSO,z_phot
2CXO J000811.4+511535,2.047608038,51.25980535,116.062913,-11.034231,14.92,13.752,19.0662598,19.14428027,18.71919438,-13.2783086,0.87804878,1.3107093030068708
2CXO J001203.0+523906,3.012892963,52.65160752,116.889302,-9.757426,16.557,15.402,19.6024537,19.61298002,19.38151394,-13.9235605,0.756097561,1.996282016046419
2CXO J001210.0+502830,3.041918615,50.47504299,116.56451,-11.910565,14.84,13.684,19.337798,19.31215609,18.9767958,-13.19707193,0.87804878,0.8497421364713602
2CXO J001214.2+523009,3.059671027,52.50264081,116.894509,-9.908994,16.086,15.123,19.76742902,20.18080375,19.34961147,-14.23306052,0.756097561,1.6046823495446565
2CXO J001221.8+523520,3.091170988,52.58907602,116.92719,-9.826524,15.856,14.994,19.90854968,19.67725906,19.6761529,-13.38388784,0.804878049,1.0013644868685818
2CXO J001350.1+792651,3.45911593,79.4475687,121.142271,16.706708,15.841,14.945,18.71557164,18.85805103,18.31123828,-13.34997142,0.707317073,1.6590646323774842
2CXO J001553.1+792353,3.97139812,79.39830746,121.231764,16.644104,15.472,14.083,19.04480623,19.52209254,18.5096679,-13.82445596,0.829268293,1.666654784367022
2CXO J001717.4+791515,4.322796491,79.25436495,121.27787,16.492438,16.004,14.805,20.04805598,20.18774362,19.6577234,-13.57806753,0.56097561,1.688657263640546
2CXO J001749.9+791911,4.458092251,79.31995194,121.31321,16.553971,15.599,14.06,19.27792657,19.52751241,18.91584454,-9999.0,0.804878049,1.3642744252838606
2CXO J001910.8+791028,4.795310553,79.17471937,121.358109,16.401666,15.729,14.357,19.60420087,19.74979344,19.24017232,-13.17209235,0.804878049,1.3531866421856364
2CXO J004303.2+520442,10.76350453,52.07835428,121.620838,-10.772051,14.289,12.936,17.17275521,17.30227572,16.81068764,-12.97052524,0.780487805,1.6134596374959072
2CXO J004329.0+520547,10.87099443,52.09658757,121.688633,-10.755959,15.443,14.501,18.73289822,18.89027124,18.40048351,-14.04601149,0.56097561,1.556941886307682
2CXO J005040.6+511301,12.66956421,51.2169506,122.810455,-11.654619,15.399,14.105,18.41022737,18.61645031,18.05766091,-13.36171453,0.731707317,1.495992767915495
2CXO J005102.0+511717,12.7585256,51.28823758,122.867468,-11.583461,15.314,14.426,18.73876995,18.86324738,18.27494458,-13.98169404,0.682926829,1.6910075320894888
2CXO J005110.0+510146,12.79196478,51.02966113,122.888533,-11.842065,15.911,14.861,19.5736479,19.57525002,19.31230408,-13.28342473,0.731707317,1.2278949474737195
2CXO J005142.1+474142,12.92546612,47.69505357,122.977936,-15.176672,16.786,15.81,20.37498928,20.40158758,20.1388105,-13.26876301,0.902439024,1.447540021448871
2CXO J005150.0+472806,12.95861317,47.46831446,123.001428,-15.403381,14.665,13.576,18.32581957,18.50527911,17.98007299,-12.99666462,0.926829268,1.032092767822774
2CXO J005254.4+473526,13.22702603,47.59065162,123.188882,-15.280364,15.633,14.399,19.68157927,20.04691766,19.38413594,-13.52071879,0.902439024,1.4489652580843841
2CXO J005313.1+473443,13.30480733,47.57881989,123.243349,-15.291852,16.191,15.819,19.13676775,19.44446993,18.58765784,-14.20485217,0.536585366,2.6564320493502502
2CXO J010556.0+602237,16.48345319,60.37713696,124.723935,-2.444164,15.1,13.974,17.41963198,17.48921368,17.16337645,-13.11906767,0.585365854,1.5210907375491425
2CXO J010712.3+540928,16.80131287,54.15779409,125.265391,-8.642501,15.089,13.794,17.97369571,18.09410754,17.61203579,-13.81132083,0.512195122,1.582348264128151
2CXO J010720.8+540728,16.8368002,54.12446112,125.288474,-8.674477,15.511,14.347,19.05749961,19.26791364,18.7834646,-13.48082303,0.682926829,1.3767635201482202
2CXO J010727.3+541848,16.86368677,54.31321846,125.292383,-8.485106,16.046,14.933,19.57411389,19.52203285,19.27541672,-13.70411259,0.804878049,1.5303549661165006
2CXO J011140.8+490245,17.92023686,49.04596983,126.343602,-13.691637,13.742,13.568,19.74567878,,,-13.10419001,0.56097561,1.9058211364225999
2CXO J011142.4+493341,17.926974,49.56133094,126.305306,-13.177604,16.441,16.0,20.41892019,20.37739496,19.83140193,-14.03432925,0.804878049,2.040075979740574
2CXO J011152.0+491151,17.96716711,49.1977091,126.362429,-13.537905,16.208,15.33,20.06170978,20.15619279,19.76788504,-13.81608011,0.902439024,1.2371750740249094
2CXO J011209.8+493409,18.04105931,49.56917268,126.380388,-13.163748,16.377,15.243,20.09942266,20.10029569,19.58564598,-13.61795331,0.951219512,1.6734301020399323
2CXO J011712.0+452821,19.30024235,45.4727743,127.654376,-17.162611,16.211,15.021,19.37768013,19.48522125,19.03633177,-13.59119813,0.951219512,1.7844629712720603
2CXO J011808.4+453857,19.53540731,45.64921959,127.806009,-16.969658,15.244,14.51,20.20343883,20.52850118,19.80490602,-13.59716489,0.975609756,1.1070097045909995
2CXO J014242.4+513912,25.67669993,51.65327991,130.976332,-10.4159,15.925,14.723,19.08783237,19.27247578,18.70187139,-13.89034686,0.658536585,2.2131119054914863
2CXO J014750.6+532636,26.96107026,53.44365193,131.369308,-8.501521,14.578,13.521,19.09690869,18.96433072,18.74834196,-13.24623028,0.682926829,1.1418763696123895
2CXO J014830.4+533230,27.12707969,53.54192526,131.444791,-8.383891,15.841,15.323,19.05301794,19.32003414,18.67898588,-14.13671039,0.658536585,2.2952649259471483
2CXO J015458.4+731055,28.74400259,73.18204708,127.557294,10.883444,15.187,14.312,18.56120014,18.67757171,18.23916233,-12.96008489,0.756097561,1.4372951547059063
2CXO J015616.7+434409,29.06972453,43.73595049,135.148101,-17.592382,14.948,14.0,18.40637003,18.48390796,18.08107897,-13.12109248,1.0,1.0167414168570468
2CXO J021637.8+565559,34.15786129,56.93315268,134.391302,-4.031064,15.725,14.545,19.10902097,19.21453736,18.78227592,-13.45001539,0.609756098,1.6260389697069793
2CXO J022123.1+421722,35.34676561,42.28952238,140.194303,-17.547211,15.839,14.783,19.2674267,19.42375677,18.95799426,-13.40523669,1.0,1.3416144601211724
2CXO J022142.3+421947,35.42642168,42.32968334,140.236933,-17.488642,16.116,15.646,20.06348786,20.7045809,19.0668693,-14.16800737,0.975609756,3.4534873554601564
2CXO J022227.9+425236,35.61660553,42.87686661,140.16808,-16.927679,15.291,13.96,18.1828995,18.36092861,17.80984424,-13.37721456,0.951219512,1.7957985022207494
2CXO J022334.9+430420,35.89564795,43.07224007,140.293088,-16.671688,13.468,12.114,17.10662792,17.28103677,16.69950603,-13.24145193,0.951219512,1.6309096390549993
2CXO J022347.4+395345,35.9475991,39.89595849,141.557812,-19.612139,16.787,15.511,20.17136256,20.52375821,19.81866964,-13.64514909,0.975609756,1.4383775769427873
2CXO J022404.8+395350,36.02020739,39.89735485,141.612173,-19.590174,16.168,15.43,20.63855521,20.61137336,19.98897145,-13.45142851,0.975609756,0.8611805304847004
2CXO J022502.7+424427,36.26137702,42.74103628,140.680188,-16.881675,15.137,14.084,17.74079218,17.94792703,17.39727013,-13.40443477,0.951219512,2.558538392186335
2CXO J022656.6+491506,36.73613111,49.25177909,138.529998,-10.705708,16.142,15.335,19.50374636,20.19288595,18.92174326,-13.87715556,0.634146341,2.849974301660982
2CXO J022657.3+491310,36.73895024,49.21971662,138.543706,-10.734862,14.81,14.306,19.30737975,,,-13.74634032,0.658536585,1.9186693228015355
2CXO J022719.9+491029,36.8329352,49.1749106,138.6186,-10.753972,14.99,13.806,18.74476718,18.95729725,18.41858875,-13.65514252,0.780487805,1.2998802230321107
2CXO J022735.9+491041,36.8995975,49.17810852,138.658635,-10.734938,15.922,14.936,19.59687959,19.70076958,19.23682443,-13.48287624,0.853658537,1.5034949653635896
2CXO J023555.7+390459,38.98199545,39.08320362,144.181257,-19.438606,16.585,15.219,20.1355344,20.67208339,19.50320748,-13.15408251,0.975609756,1.7532384069798042
2CXO J023925.5+390608,39.85659787,39.10235535,144.824825,-19.135058,16.55,15.501,20.67768453,20.66376784,20.28991042,-13.69092424,0.926829268,1.4426448885075747
2CXO J023939.7+405238,39.9155895,40.87713822,144.07137,-17.510141,15.936,15.059,19.40420677,19.45009881,19.10705164,-13.42002848,1.0,1.6615521753893028
2CXO J023950.2+390709,39.95918739,39.11944693,144.893203,-19.085518,16.061,15.356,20.09585646,20.40820551,19.69501109,-9999.0,0.975609756,2.2174006619462814
2CXO J024000.3+390634,40.00171134,39.10946822,144.929267,-19.080366,15.642,14.456,18.6650434,18.68987564,18.28774017,-13.69185432,1.0,2.2427560388355396
2CXO J025330.5+413201,43.3774583,41.53387235,146.196115,-15.758099,16.101,14.895,20.10194086,20.31750179,19.69119235,-13.55352656,0.926829268,1.3517243823034946
